"","id","abstract","title","included_ats","included_final"
"13",12583,"OBJECTIVE: Identified patterns of connectedness in youth with cancer and demographically similar healthy peers. METHOD: Participants included 153 youth with a history of cancer and 101 youth without a history of serious illness (8-19 years). Children completed measures of connectedness, posttraumatic stress symptoms (PTSS), and benefit-finding. Parents also reported on children's PTSS. RESULTS: Latent profile analysis revealed four profiles: high connectedness (45%), low connectedness (6%), connectedness primarily to parents (40%), and connectedness primarily to peers (9%). These profiles did not differ by history of cancer. However, profiles differed on PTSS and benefit-finding. Children highly connected across domains displayed the lowest PTSS and highest benefit-finding, while those with the lowest connectedness had the highest PTSS, with moderate PTSS and benefit-finding for the parent and peer profiles. CONCLUSION: Children with cancer demonstrate patterns of connectedness similar to their healthy peers. Findings support connectedness as a possible mechanism facilitating resilience and growth.","profiles of connectedness: processes of resilience and growth in children with cancer",1,0
"14",12583,"OBJECTIVE: Identified patterns of connectedness in youth with cancer and demographically similar healthy peers. METHOD: Participants included 153 youth with a history of cancer and 101 youth without a history of serious illness (8-19 years). Children completed measures of connectedness, posttraumatic stress symptoms (PTSS), and benefit-finding. Parents also reported on children's PTSS. RESULTS: Latent profile analysis revealed four profiles: high connectedness (45%), low connectedness (6%), connectedness primarily to parents (40%), and connectedness primarily to peers (9%). These profiles did not differ by history of cancer. However, profiles differed on PTSS and benefit-finding. Children highly connected across domains displayed the lowest PTSS and highest benefit-finding, while those with the lowest connectedness had the highest PTSS, with moderate PTSS and benefit-finding for the parent and peer profiles. CONCLUSION: Children with cancer demonstrate patterns of connectedness similar to their healthy peers. Findings support connectedness as a possible mechanism facilitating resilience and growth.","profiles of connectedness: processes of resilience and growth in children with cancer",1,0
"15",6130,"OBJECTIVE: Suicidal ideation in veterans is of great concern. The objective of this study is to examine how heterogeneous posttraumatic stress disorder (PTSD) trajectories are associated with postdeployment suicidal ideation in veterans 2.5 years postdeployment to a combat zone in Afghanistan. If PTSD trajectories are associated with postdeployment suicidal ideations, then the accumulative knowledge on what characterizes veterans falling into different PTSD trajectories may provide better opportunities for early identification of suicidal high-risk veterans. METHOD: In this prospective study of 743 Danish soldiers deployed to Afghanistan from February to August in 2009, we collected data at 6 time points from 6 weeks before deployment to 2.5 years after homecoming (total for this study: 456). At all assessments, the soldiers responded to a comprehensive questionnaire including measures of PTSD (measured by the PTSD Checklist, Civilian Version) and other mental and physical health variables, demographics, and social and combat-related factors. Suicidal ideation was measured by an item from the European Parasuicide Study Interview Schedule II. In a previous study based on soldiers from this cohort, we identified 6 PTSD trajectories using latent growth mixture modeling, which we have extracted and applied as independent variables in this study. Adjusted multivariable logistic regression analyses were applied to examine whether deployed soldiers with certain PTSD symptom trajectories were more likely to report suicidal ideation 2.5 years after homecoming. RESULTS: Two PTSD trajectories with high PTSD symptom level 2.5 years after return were significantly associated with suicidal ideation 2.5 years after homecoming. Thus, a relieved-worsening class, described by initial decreasing PTSD symptom levels followed by a steep increase in symptoms had higher risk of suicidal ideation (OR = 7.84; 95% CI, 1.68-36.6), which was also the case for a late-onset class (OR 5.2; 95% CI, 2.21-12.24) when compared to a low-stable class. CONCLUSIONS: Heterogeneous PTSD trajectories are associated with suicidal ideation in veterans 2.5 years after homecoming.","postdeployment suicidal ideations and trajectories of posttraumatic stress disorder in danish soldiers: a 3-year follow-up of the usper study",1,0
"16",6130,"OBJECTIVE: Suicidal ideation in veterans is of great concern. The objective of this study is to examine how heterogeneous posttraumatic stress disorder (PTSD) trajectories are associated with postdeployment suicidal ideation in veterans 2.5 years postdeployment to a combat zone in Afghanistan. If PTSD trajectories are associated with postdeployment suicidal ideations, then the accumulative knowledge on what characterizes veterans falling into different PTSD trajectories may provide better opportunities for early identification of suicidal high-risk veterans. METHOD: In this prospective study of 743 Danish soldiers deployed to Afghanistan from February to August in 2009, we collected data at 6 time points from 6 weeks before deployment to 2.5 years after homecoming (total for this study: 456). At all assessments, the soldiers responded to a comprehensive questionnaire including measures of PTSD (measured by the PTSD Checklist, Civilian Version) and other mental and physical health variables, demographics, and social and combat-related factors. Suicidal ideation was measured by an item from the European Parasuicide Study Interview Schedule II. In a previous study based on soldiers from this cohort, we identified 6 PTSD trajectories using latent growth mixture modeling, which we have extracted and applied as independent variables in this study. Adjusted multivariable logistic regression analyses were applied to examine whether deployed soldiers with certain PTSD symptom trajectories were more likely to report suicidal ideation 2.5 years after homecoming. RESULTS: Two PTSD trajectories with high PTSD symptom level 2.5 years after return were significantly associated with suicidal ideation 2.5 years after homecoming. Thus, a relieved-worsening class, described by initial decreasing PTSD symptom levels followed by a steep increase in symptoms had higher risk of suicidal ideation (OR = 7.84; 95% CI, 1.68-36.6), which was also the case for a late-onset class (OR 5.2; 95% CI, 2.21-12.24) when compared to a low-stable class. CONCLUSIONS: Heterogeneous PTSD trajectories are associated with suicidal ideation in veterans 2.5 years after homecoming.","postdeployment suicidal ideations and trajectories of posttraumatic stress disorder in danish soldiers: a 3-year follow-up of the usper study",1,0
"17",9660,"This study investigated the co-occurrence of posttraumatic stress disorder (PTSD) and substance use disorders (SUDs) in a sample (N = 668) recruited for personality disorders and followed longitudinally as part of the Collaborative Longitudinal Personality Disorders Study. The study both examined rates of co-occurring disorders at baseline and temporal relationships between PTSD and substance use disorders over 4 years. Subjects with a lifetime history of PTSD at baseline had significantly higher rates of SUDs (both alcohol and drug) than subjects without PTSD. Latent class growth analysis, a relatively novel approach used to analyze trajectories and identify homogeneous subgroups of participant on the basis of probabilities of PTSD and SUD over time, identified 6 classes, which were compared with respect to a set of functioning and personality variables. The most consistent differences were observed between the group that displayed low probabilities of both SUD and PTSD and the group that displayed high probabilities of both. © 2009 American Psychological Association.","trajectories of ptsd and substance use disorders in a longitudinal study of personality disorders",1,0
"18",9660,"This study investigated the co-occurrence of posttraumatic stress disorder (PTSD) and substance use disorders (SUDs) in a sample (N = 668) recruited for personality disorders and followed longitudinally as part of the Collaborative Longitudinal Personality Disorders Study. The study both examined rates of co-occurring disorders at baseline and temporal relationships between PTSD and substance use disorders over 4 years. Subjects with a lifetime history of PTSD at baseline had significantly higher rates of SUDs (both alcohol and drug) than subjects without PTSD. Latent class growth analysis, a relatively novel approach used to analyze trajectories and identify homogeneous subgroups of participant on the basis of probabilities of PTSD and SUD over time, identified 6 classes, which were compared with respect to a set of functioning and personality variables. The most consistent differences were observed between the group that displayed low probabilities of both SUD and PTSD and the group that displayed high probabilities of both. © 2009 American Psychological Association.","trajectories of ptsd and substance use disorders in a longitudinal study of personality disorders",1,0
"19",12279,"In the summer of 2003 the temperatures reached were responsible for a large number of deaths in Europe. A year after this fact, many countries had implemented some sort of plan of prevention against excessive temperatures. Plans that had already shown its ability to prevent a large proportion of avoidable mortality in other latitudes. Since then, a lot of papers have been published providing new data on health effects of a heat wave, which can help increase the efficiency of these prevention plans. Knowing the weather conditions at risk, defining ""heat wave"" or to take into account the time that the plan should be active from the study of the relationship between temperature and their effects on health, to identify weather patterns that modulate the relationship between temperature and mortality, locate the profile of people at risk or to develop protocols for action as accurately as possible and based on scientific knowledge are elements drawn from studies carried on in recent years that should be taken into account.","heat health warning systems: possibilities of improvement",0,0
"20",9625,"In the summer of 2003 the temperatures reached were responsible for a large number of deaths in Europe. A year after this fact, many countries had implemented some sort of plan of prevention against excessive temperatures. Plans that had already shown its ability to prevent a large proportion of avoidable mortality in other latitudes. Since then, a lot of papers have been published providing new data on health effects of a heat wave, which can help increase the efficiency of these prevention plans. Knowing the weather conditions at risk, defining ""heat wave"" or to take into account the time that the plan should be active from the study of the relationship between temperature and their effects on health, to identify weather patterns that modulate the relationship between temperature and mortality, locate the profile of people at risk or to develop protocols for action as accurately as possible and based on scientific knowledge are elements drawn from studies carried on in recent years that should be taken into account.","heat health warning systems. possibilities of improvement",0,0
"21",1779,"Paroxetine is a selective serotonin reuptake inhibitor (SSRI), with antidepressant and anxiolytic activity. In 6- to 24-week well designed trials, oral paroxetine 10 to 50 mg/day was significantly more effective than placebo, at least as effective as tricyclic antidepressants (TCAs) and as effective as other SSRIs and other antidepressants in the treatment of major depressive disorder. Relapse or recurrence over 1 year after the initial response was significantly lower with paroxetine 10 to 50 mg/day than with placebo and similar to that with imipramine 50 to 275 mg/day. The efficacy of paroxetine 10 to 40 mg/day was similar to that of TCAs and fluoxetine 20 to 60 mg/day in 6- to 12-week trials in patients aged (greater-than or equal to)60 years with major depression. Paroxetine 10 to 40 mg/day improved depressive symptoms to an extent similar to that of TCAs in patients with comorbid illness, and was more effective than placebo in the treatment of dysthymia and minor depression. Paroxetine 20 to 60 mg/day was more effective than placebo after 8 to 12 weeks' treatment of obsessive-compulsive disorder (OCD), panic disorder, social anxiety disorder (social phobia), generalised anxiety disorder (GAD) and post-traumatic stress disorder (PTSD). Improvement was maintained or relapse was prevented for 24 weeks to 1 year in patients with OCD, panic disorder, social anxiety disorder or GAD. The efficacy of paroxetine was similar to that of other SSRIs in patients with OCD and panic disorder and similar to that of imipramine but greater than that of 2'chlordesmethyldiazepam in patients with GAD. Paroxetine is generally well tolerated in adults, elderly individuals and patients with comorbid illness, with a tolerability profile similar to that of other SSRIs. The most common adverse events with paroxetine were nausea, sexual dysfunction, somnolence, asthenia, headache, constipation, dizziness, sweating, tremor and decreased appetite. In conclusion, paroxetine, in common with other SSRIs, is generally better tolerated than TCAs and is a first-line treatment option for major depressive disorder, dysthymia or minor depression. Like other SSRIs, paroxetine is also an appropriate first-line therapy for OCD, panic disorder, social anxiety disorder, GAD and PTSD. Notably, paroxetine is the only SSRI currently approved for the treatment of social anxiety disorder and GAD, which makes it the only drug of its class indicated for all five anxiety disorders in addition to major depressive disorder. Thus, given the high degree of psychiatric comorbidity of depression and anxiety, paroxetine is an important first-line option for the treatment of major depressive disorder, OCD, panic disorder, social anxiety disorder, GAD and PTSD.","spotlight on paroxetine in psychiatric disorders in adults",0,0
"22",1785,"Paroxetine is a selective serotonin reuptake inhibitor (SSRI), with antidepressant and anxiolytic activity. In 6- to 24-week well designed trials, oral paroxetine 10 to 50 mg/day was significantly more effective than placebo, at least as effective as tricyclic antidepressants (TCAs) and as effective as other SSRIs and other antidepressants in the treatment of major depressive disorder. Relapse or recurrence over 1 year after the initial response was significantly lower with paroxetine 10 to 50 mg/day than with placebo and similar to that with imipramine 50 to 275 mg/day. The efficacy of paroxetine 10 to 40 mg/day was similar to that of TCAs and fluoxetine 20 to 60 mg/day in 6- to 12-week trials in patients aged (greater-than or equal to)60 years with major depression. Paroxetine 10 to 40 mg/day improved depressive symptoms to an extent similar to that of TCAs in patients with comorbid illness, and was more effective than placebo in the treatment of dysthymia and minor depression. Paroxetine 20 to 60 mg/day was more effective than placebo after 8 to 12 weeks' treatment of obsessive-compulsive disorder (OCD), panic disorder, social anxiety disorder (social phobia), generalised anxiety disorder (GAD) and post-traumatic stress disorder (PTSD). Improvement was maintained or relapse was prevented for 24 weeks to 1 year in patients with OCD, panic disorder, social anxiety disorder or GAD. The efficacy of paroxetine was similar to that of other SSRIs in patients with OCD and panic disorder and similar to that of imipramine but greater than that of 2'chlordesmethyldiazepam in patients with GAD. Paroxetine is generally well tolerated in adults, elderly individuals and patients with comorbid illness, with a tolerability profile similar to that of other SSRIs. The most common adverse events with paroxetine were nausea, sexual dysfunction, somnolence, asthenia, headache, constipation, dizziness, sweating, tremor and decreased appetite. In conclusion, paroxetine, in common with other SSRIs, is generally better tolerated than TCAs and is a first-line treatment option for major depressive disorder, dysthymia or minor depression. Like other SSRIs, paroxetine is also an appropriate first-line therapy for OCD, panic disorder, social anxiety disorder, GAD and PTSD. Notably, paroxetine is the only SSRI currently approved for the treatment of social anxiety disorder and GAD, which makes it the only drug of its class indicated for all five anxiety disorders in addition to major depressive disorder. Thus, given the high degree of psychiatric comorbidity of depression and anxiety, paroxetine is an important first-line option for the treatment of major depressive disorder, OCD, panic disorder, social anxiety disorder, GAD and PTSD.","paroxetine: an update of its use in psychiatric disorders in adults",0,0
"23",1638,"Features of posttraumatic stress disorder (PTSD) for 596 survivors of motor vehicle accidents were examined by self-report measures at 1 week, 1 month, 3 months, and 6 months after the motor vehicle accident (MVA). Latent growth modeling was utilized to study the trend and predictors of the level of distress. Results indicated that 5-20% of the participants reported to have a significant level of posttraumatic stress in one, two, or three of the PTSD symptom clusters within the period studied. Survivors with significant acute stress 1 week after the MVA had a higher risk for developing chronic posttraumatic stress. Although the severity of intrusive and hyperarousal symptoms decreased over time, the severity of avoidance symptoms remained unchanged. Factors predicting the course of PTSD after an MVA are identified. (copyright) 2006 International Society for Traumatic Stress Studies.","posttraumatic stress after a motor vehicle accident: a six-month follow-up study utilizing latent growth modeling",1,0
"24",1638,"Features of posttraumatic stress disorder (PTSD) for 596 survivors of motor vehicle accidents were examined by self-report measures at 1 week, 1 month, 3 months, and 6 months after the motor vehicle accident (MVA). Latent growth modeling was utilized to study the trend and predictors of the level of distress. Results indicated that 5-20% of the participants reported to have a significant level of posttraumatic stress in one, two, or three of the PTSD symptom clusters within the period studied. Survivors with significant acute stress 1 week after the MVA had a higher risk for developing chronic posttraumatic stress. Although the severity of intrusive and hyperarousal symptoms decreased over time, the severity of avoidance symptoms remained unchanged. Factors predicting the course of PTSD after an MVA are identified. (copyright) 2006 International Society for Traumatic Stress Studies.","posttraumatic stress after a motor vehicle accident: a six-month follow-up study utilizing latent growth modeling",1,0
"25",5935,"This study presents the prevalence of symptoms of Posttraumatic Stress Disorder (PTSD) in 500 schoolchildren (6-13 years old) in Sao Goncalo, Rio de Janeiro. It also investigates the association between PTSD, violence and other adverse events in the lives of these children. The multi-stage cluster sampling strategy involved three selection stages. Parents were interviewed about their children's behavior. The instrument used to screen symptoms of PTSD was the Child Behavior Checklist-Posttraumatic Stress Disorder Scale (CBCL-PTSD). Conflict Tactics Scales (CTS) were applied to evaluate family violence and other scales to investigate the socioeconomic profile, familiar relationship, characteristics and adverse events in the lives of the children. Multivariate analysis was performed using a hierarchical model with a significance level of 5%. The prevalence of clinical symptoms of PTSD was of 6.5%. The multivariate analysis suggested an explanation model of PTSD characterized by 18 variables, such as the child's characteristics; specific life events; family violence; and other family factors. The results reveal that it is necessary to work with the child in particularly difficult moments of his/her life in order to prevent or minimize the impact of adverse events on their mental and social functioning.","[violence and post-traumatic stress disorder in childhood]",0,0
"26",1558,"This study presents the prevalence of symptoms of Posttraumatic Stress Disorder (PTSD) in 500 schoolchildren (6-13 years old) in Sao Goncalo, Rio de Janeiro. It also investigates the association between PTSD, violence and other adverse events in the lives of these children. The multi-stage cluster sampling strategy involved three selection stages. Parents were interviewed about their children's behavior. The instrument used to screen symptoms of PTSD was the Child Behavior Checklist-Posttraumatic Stress Disorder Scale (CBCL-PTSD). Conflict Tactics Scales (CTS) were applied to evaluate family violence and other scales to investigate the socioeconomic profile, familiar relationship, characteristics and adverse events in the lives of the children. Multivariate analysis was performed using a hierarchical model with a significance level of 5%. The prevalence of clinical symptoms of PTSD was of 6.5%. The multivariate analysis suggested an explanation model of PTSD characterized by 18 variables, such as the child's characteristics; specific life events; family violence; and other family factors. The results reveal that it is necessary to work with the child in particularly difficult moments of his/her life in order to prevent or minimize the impact of adverse events on their mental and social functioning.","violence and post-traumatic stress disorder in childhood",0,0
